Domain,Redirect,Agency,Status,Response Time,Title,Description,Keywords,Robots,Viewport,Canonical,OG Locale,OG Site Name,OG Type,OG Title,OG Description,OG Url,OG Image,OG Image Width,OG Image Height,OG Image Alt,Twitter Card,Twitter Title,Twitter Description,Twitter Image
arkansas.gov,https://portal.arkansas.gov/,State of Arkansas,200,141,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
ca.gov,https://www.ca.gov/,State of California,200,295,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
az.gov,https://az.gov/,State of Arizona,200,163,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
alabama.gov,https://www.alabama.gov/,State of Alabama,200,197,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
alaska.gov,https://alaska.gov/,State of Alaska,200,877,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
de.gov,undefined,State of Delaware,500,undefined,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
ct.gov,https://portal.ct.gov/,State of Connecticut,200,287,true,false,false,false,true,false,true,true,true,true,false,true,true,false,false,false,false,true,true,false,false
myflorida.com,https://www.myflorida.com/,State of Florida,200,414,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
colorado.gov,https://www.colorado.gov/,State of Colorado,200,402,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
georgia.gov,https://georgia.gov/,State of Georgia,200,555,true,false,false,false,true,true,false,true,false,true,false,true,true,true,true,false,false,true,true,false,true
iowa.gov,https://www.iowa.gov/,State of Iowa,200,227,true,true,false,false,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true
illinois.gov,https://www.illinois.gov/,State of Illinois,200,280,true,true,false,false,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true,true,false
hawaii.gov,http://hawaii.gov/,State of Hawaii,200,387,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
in.gov,https://www.in.gov/,State of Indiana,200,547,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
idaho.gov,https://www.idaho.gov/,State of Idaho,200,635,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,false,false,false
loiusiana.gov,undefined,State of Louisiana,500,undefined,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
mass.gov,https://www.mass.gov/,State of Massachusett,200,155,true,true,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,true,true,true,false
maine.gov,https://www.maine.gov/portal/index.html,State of Maine,200,197,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
maryland.gov,https://www.maryland.gov/Pages/default.aspx,State of Maryland,200,265,true,false,false,false,true,true,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false
kentucky.gov,https://www.kentucky.gov/Pages/home.aspx,State of Kentucky,200,201,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
mn.gov,http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=0151425e-4f42-4589-8c62-0456b49a5a5c&ssb=44204285999&ssc=https%3A%2F%2Fmn.gov%2Fportal%2F&ssi=0300658f-bf56-4e63-b3a0-875c1d711c1e&ssk=support@shieldsquare.com&ssm=09846492016601675105024304434127&ssn=86a9cb8db2864e4f59fd9148d18097576332ad1d7bab-4e12-4340-bcd92c&sso=b5fb16e5-50e157d5b04e59ec4520b843857300f0699275a436b456c6&ssp=72077590421709246465170922520675760&ssq=43580785884866996646358848348113621302593&ssr=OTkuMTY3LjIwNS4xODQ=&sst=CivicHackingAgency/1.0%20gov-metadata&ssu=&ssv=&ssw=&ssx=W10=,State of Minnesota,400,313,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
mt.gov,https://mt.gov/,State of Montana,200,288,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
michigan.gov,https://www.michigan.gov/som,State of Michigan,200,363,true,true,false,false,true,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false
mo.gov,https://www.mo.gov/,State of Missouri,200,360,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
nv.gov,https://nv.gov/,State of Nevada,200,179,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
nh.gov,https://www.nh.gov/,State of New Hampshire,200,429,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
nebraska.gov,https://www.nebraska.gov/,State of Nebraska,200,450,true,true,true,false,true,true,true,true,true,true,true,false,true,false,false,false,true,true,true,true,true
nj.gov,https://nj.gov/,State of New Jersey,200,411,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true
mississippi.gov,https://www.mississippi.gov/,State of Mississippi,200,552,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
kansas.gov,https://portal.kansas.gov/,State of Kansas,200,2657,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
oklahoma.gov,https://oklahoma.gov/,State of Oklahoma,200,72,true,true,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true,true,false
ny.gov,https://www.ny.gov/,State of New York,200,169,true,true,false,false,true,true,false,true,false,true,true,true,true,false,false,true,false,true,true,true,true
oregon.gov,https://www.oregon.gov/Pages/index.aspx,State of Oregon,200,171,true,true,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false
nc.gov,https://www.nc.gov/,State of North Carolina,200,179,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,false,false
ohio.gov,https://ohio.gov/,State of Ohio,404,308,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
texas.gov,https://www.texas.gov/,State of Texas,200,173,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
ri.gov,https://www.ri.gov/,State of Rhode Island,200,357,true,true,true,true,true,false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false
nd.gov,https://www.nd.gov/,State of North Dakota,200,561,true,true,true,false,true,true,false,true,true,true,false,true,true,false,false,true,false,false,true,false,true
nm.gov,https://www.nm.gov/,State of New Mexico,200,1085,true,false,false,true,true,true,true,true,true,true,false,true,false,false,false,false,false,true,false,false,false
sc.gov,https://sc.gov/,State of South Carolina,200,386,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
virginia.gov,https://www.virginia.gov/,State of Virginia,200,589,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wa.gov,https://wa.gov/,State of Washington,200,529,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
vermont.gov,https://www.vermont.gov/,State of Vermont,200,498,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
tn.gov,https://www.tn.gov/,State of Tennessee,200,677,true,true,false,false,true,true,false,false,false,true,true,true,false,false,false,false,false,true,true,true,false
pa.gov,https://www.pa.gov/,State of Pennsylvania,200,478,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false
utah.gov,https://www.utah.gov/index.html,State of Utah,200,304,true,true,true,false,true,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false
amtrakoig.gov,https://amtrakoig.gov/,AMTRAK,200,420,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
wyo.gov,https://www.wyo.gov/,State of Wyoming,200,410,true,false,false,false,true,false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false
