domain,agency,status,redirect,https,dot_gov,www
az.gov,State of Arizona,200,https://az.gov/,true,true,true
ca.gov,State of California,200,https://www.ca.gov/,true,true,true
arkansas.gov,State of Arkansas,200,https://portal.arkansas.gov/,true,true,true
alabama.gov,State of Alabama,200,https://www.alabama.gov/,true,true,true
alaska.gov,State of Alaska,200,https://alaska.gov/,true,true,false
de.gov,State of Delaware,500,undefined,undefined,undefined,false
myflorida.com,State of Florida,200,https://www.myflorida.com/,true,false,true
colorado.gov,State of Colorado,200,https://www.colorado.gov/,true,true,true
ct.gov,State of Connecticut,200,https://portal.ct.gov/,true,true,true
georgia.gov,State of Georgia,200,https://georgia.gov/,true,true,true
hawaii.gov,State of Hawaii,200,http://hawaii.gov/,false,true,false
iowa.gov,State of Iowa,200,https://www.iowa.gov/,true,true,true
idaho.gov,State of Idaho,200,https://www.idaho.gov/,true,true,true
in.gov,State of Indiana,200,https://www.in.gov/,true,true,true
loiusiana.gov,State of Louisiana,500,undefined,undefined,undefined,false
illinois.gov,State of Illinois,200,https://www.illinois.gov/,true,true,true
maine.gov,State of Maine,200,https://www.maine.gov/portal/index.html,true,true,true
mass.gov,State of Massachusett,200,https://www.mass.gov/,true,true,true
maryland.gov,State of Maryland,200,https://www.maryland.gov/Pages/default.aspx,true,true,true
kansas.gov,State of Kansas,200,https://portal.kansas.gov/,true,true,true
mn.gov,State of Minnesota,200,http://validate.perfdrive.com/d5bd5333eafe8b0ccd6023ba818d1aa6/?ssa=658edc1c-ed61-41bb-8fac-644061f92679&ssb=93709220431&ssc=https%3A%2F%2Fmn.gov%2F&ssi=fdda80d8-bf56-4c73-a53b-b28d7e1b1f5e&ssk=support@shieldsquare.com&ssm=07907761878744121105187673470446&ssn=fe16edc14fee9265cadae6588067b3eff3558d4d741c-c53f-4433-addb4e&sso=aa546d5e-fdce7ee65330ed108e50894a8a2981e3e9384f7e38ede9ac&ssp=11401044361709742250170974383708122&ssq=39273997262896149780872628197662350987595&ssr=OTkuMTY3LjIwNS4xODQ=&sst=CivicHackingAgency/1.0%20gov-metadata&ssu=&ssv=&ssw=&ssx=W10=,false,true,false
michigan.gov,State of Michigan,200,https://www.michigan.gov/som,true,true,true
mo.gov,State of Missouri,200,https://www.mo.gov/,true,true,true
mississippi.gov,State of Mississippi,200,https://www.mississippi.gov/,true,true,true
kentucky.gov,State of Kentucky,200,https://www.kentucky.gov/Pages/home.aspx,true,true,true
mt.gov,State of Montana,200,https://mt.gov/,true,true,false
nebraska.gov,State of Nebraska,200,https://www.nebraska.gov/,true,true,true
nv.gov,State of Nevada,200,https://nv.gov/,true,true,true
nj.gov,State of New Jersey,200,https://nj.gov/,true,true,false
nc.gov,State of North Carolina,200,https://www.nc.gov/,true,true,true
ny.gov,State of New York,200,https://www.ny.gov/,true,true,true
nh.gov,State of New Hampshire,200,https://www.nh.gov/,true,true,true
nd.gov,State of North Dakota,200,https://www.nd.gov/,true,true,true
oklahoma.gov,State of Oklahoma,200,https://oklahoma.gov/,true,true,false
ohio.gov,State of Ohio,404,https://ohio.gov/,true,true,false
oregon.gov,State of Oregon,200,https://www.oregon.gov/Pages/index.aspx,true,true,true
nm.gov,State of New Mexico,200,https://www.nm.gov/,true,true,true
sc.gov,State of South Carolina,200,https://sc.gov/,true,true,false
pa.gov,State of Pennsylvania,200,https://www.pa.gov/,true,true,true
ri.gov,State of Rhode Island,200,https://www.ri.gov/,true,true,true
texas.gov,State of Texas,200,https://www.texas.gov/,true,true,true
tn.gov,State of Tennessee,200,https://www.tn.gov/,true,true,true
utah.gov,State of Utah,200,https://www.utah.gov/index.html,true,true,true
vermont.gov,State of Vermont,200,https://www.vermont.gov/,true,true,true
sd.gov,State of South Dakota,200,https://www.sd.gov/cs,true,true,true
wa.gov,State of Washington,200,https://wa.gov/,true,true,true
virginia.gov,State of Virginia,200,https://www.virginia.gov/,true,true,true
wv.gov,State of West Virginia,200,https://www.wv.gov/Pages/default.aspx,true,true,true
wisconsin.gov,State of Wisconsin,200,https://www.wisconsin.gov/Pages/Home.aspx,true,true,false
amtrakoig.gov,AMTRAK,200,https://amtrakoig.gov/,true,true,true
wyo.gov,State of Wyoming,200,https://www.wyo.gov/,true,true,true
acus.gov,Administrative Conference of the United States,200,https://www.acus.gov/,true,true,true
achp.gov,Advisory Council on Historic Preservation,404,http://achp.gov/,false,true,false
preserveamerica.gov,Advisory Council on Historic Preservation,404,http://preserveamerica.gov/,false,true,false
arc.gov,Appalachian Regional Commission,200,https://arc.gov/,true,true,false
abmc.gov,American Battle Monuments Commission,200,https://www.abmc.gov/,true,true,true
afrh.gov,Armed Forces Retirement Home,200,https://www.afrh.gov/,true,true,false
istac.gov,Central Intelligence Agency,500,undefined,undefined,undefined,false
asc.gov,Appraisal Subcommittee,200,https://asc.gov/,true,true,false
odci.gov,Central Intelligence Agency,500,undefined,undefined,undefined,false
